project_id,client_name,clearance_start_date
MAN 364263,reneemccorey,2026-03-23
MAN 995088,guitarstrings,2026-04-07
MAN 738131,vvchon,2026-03-18
MAN 384473,starkmarine,2026-03-17
MAN 377396,phfashion,2026-03-22
MAN 166438,ljanemusic,2026-03-23
MAN 937014,agernation,2026-03-21
MAN 534266,cris9698,2026-03-25
MAN 718843,jetsetinsiders,2026-04-05
MAN 830890,barrytonezh,2026-03-29
MAN 122327,tammylynn2005,2026-03-28
MAN 953379,andrewcappy,2026-03-31
MAN 224406,gprog95,2026-04-07
MAN 572307,hgmgems,2026-04-05
MAN 734778,madenewomaha,2026-04-04
MAN 808808,corneliustrapp,2026-04-11
MAN 260104,maestraleapprod,2026-04-13
