project_id,client_name,clearance_start_date
"MAD 124060",fahad_ameem ,2026-03-14
"MOS 124081",majoferrer ,2026-02-26
"MOS 124236",mannythebeast,2026-03-15
"MEM 124251","laceylacey899",2026-03-22
"MOS 124621",rob_stagg,2026-03-30
"MOS 124689",sahharandsons,2026-04-02
"SEO 124831","batuhancakmakci",2026-04-01
MOS 124821,"emmachoptiany",2026-04-04
"MOS 124943","damianogl",2026-04-03
"MAD 125043","mbarkley1968 ",2026-04-04
"MAD 125060","ridebasic ",2026-04-09
"MOS 125091",mahmoodm01,2026-04-09
"MOS 125112",m_akar,2026-04-16
"MOS 125429",gottadowork5,2026-04-19
BOS 125114,"aaronwhite184",2026-04-18
"TOK 125306","bacarter1986",2026-04-18
"DEN 123220",plusprogrammes ,2026-04-18
"MAD 125218",gracesongster ,2026-04-11
MAN 515945,lihkin32,2026-03-20
MAN 243435,antwuanj,2026-04-18
MAN 101161,sjurnecka,2026-04-22
MAN 887888,joefilmedthat,2026-03-31
MAN 796434,jakob_rathbun,2026-03-24
MAN 499578,topaztech12,2026-03-26
MAN 401438,mkowallis22,2026-03-12
MAN 914743,julian_slocum,2026-04-05
MAN 468725,kathycartagena1,2026-04-10
