project_id,client_name,clearance_start_date
MAN 100122,mohamedfarah122,3/5/2026
MAN 100126,asamitier,3/11/2026
MAN 100135,happitaxes,3/13/2026
MAN 100137,lupog12,3/20/2026
MAN 100140,ugolodev,3/10/2026
MAN 100143,trent4prez,3/30/2026
MAN 100159,leertaste1337,3/20/2026
MAN 100160,bruce1423,3/12/2026
MAN 100161,star2911,3/14/2026
MAN 100162,lowkeymikel,3/29/2026
MAN 100168,purchasingbicor,4/4/2026
MAN 100178,thunguyen127,3/30/2026
MAN 217459,lmurillo25,4/1/2026
MAN 854123,krystyna86,3/14/2026
MAN 939627,mathews_arl,3/18/2026
MAN 210636,beckyfowler,4/9/2026
MAN 329867,albz86,4/9/2026
MAN 415083,yonatanxyz,3/21/2026
MAN 792741,forgelynx,3/21/2026
MAN 223840,momomoonski,4/6/2026
MAN 845553,palmove,3/29/2026
MAN 337365,the_real_danny_,3/29/2026
MAN 766865,tribeinvestment,4/8/2026
MAN 215915,tomowens12345,4/3/2026
MAN 719191,danikpk,4/10/2026
MAN 391459,"	sezerx169",4/6/2026
MAN 154284,kashrenewables,4/12/2026
MAN 312877,bb349006,4/7/2026
MAN 452876,toyst0ry,4/6/2026
MAN 877128,llcstarten,4/12/2026
