project_id,client_name,clearance_start_date
MAN 206991,potykc,4/11/2026
MAN 411645,brokenscythe,3/28/2026
MAN 916990,djs_magnetic,4/3/2026
MAN 420938,monika_mevissen,4/15/2026
MAN 389388,doiggy,4/11/2026
MAN 846797,nraz331,4/13/2026
MAN 259139,alialqubaisi8,3/26/2026
MAN 734041,josieantwi1,3/30/2026
MAN 699639,aliciaamie1,3/21/2026
MAN 941251,nunonumisports,3/25/2026
MAN 244721,stefanotfm,4/9/2026
MAN 900003,whitney2207,4/19/2026
MAN 900008,johnbrown25311,4/2/2026
MAN 900006,urbanrnbeatz,4/9/2026
MAN 900009,alisaber332,4/7/2026
MAN 900010,methode7h,4/10/2026
MAN 900014,pakvarone,3/27/2026
MAN 900022,"	joshuaj5428",3/6/2026
MAN 900016,regprior,4/7/2026
MAN 900019,johmsmith124,3/28/2026
MAN 900024,coffeemug64,3/30/2026
MAN 900027,jenrobles1028,3/30/2026
MAN 900028,laythassadi550,4/1/2026
MAN 900040,femzfemz,4/10/2026
MAN 900039,lamb8190,4/17/2026
MAN 900026,garysonb,4/7/2026
MAN 900041,callcamper,4/13/2026
MAN 900046,nathan572,4/3/2026
MAN 354426,kinsbce,4/9/2026
MAN 900048,omersolomon99,4/10/2026
MAN 900051,cjs230,4/6/2026
MAN 900053,agistartech,4/12/2026
MAN 900052,ugadhruv,4/15/2026
MAN 900064,arzionc,4/8/2026
MAN 900062,mdezaka,4/19/2026
MAN 900055,cdelsesto,4/3/2026
MAN 900058,kernins15,4/3/2026
MAN 900080,linwoodsessoms,4/8/2026
MAN 900065,runnerstudio,4/4/2026
MAN 900067,nickquolette,4/12/2026
MAN 900071,tbelford,4/12/2026
MAN 900072,rander_22,4/5/2026
MAN 900068,deanandrewsfood,4/19/2026
MAN 900074,tsccteam,4/7/2026
MAN 816456,vaughnbrown,4/4/2026
MAN 900054,straightace3,4/1/2026
MAN 900070,legbreaklenny,4/16/2026
MAN 900077,straightace3,4/5/2026
MAN 647419,lindseyshave643,4/10/2026
MAN 732484,alexgt46,4/7/2026
MAN 335867,mtrifiro,4/10/2026
MAN 833134,rak_drones,4/14/2026
MAN 865489,thealexvazquez,4/19/2026
MAN 926794,josephsimkassis,4/11/2026
MAN 773304,designchickadee,4/18/2026
MAN 740071,calebbarnes472,4/9/2026
MAN 991714,e_beck14,4/18/2026
MAN 519175,ryanpeppe,4/14/2026
MAN 987836,roweolo,4/13/2026
MAN 997673,kimmcalder,4/16/2026
MAN 611958,mitchen,4/10/2026
MAN 661770,mitchen,4/12/2026
