Project ID,Project Title,Status,Client,Price,Platform Commission,Freelancer Cut,Company Earning,Account,Order Type,Converted By,Date
"MAD 126757",""The Ponderosa" or "Ponderosa Properties"","Sent For Approval","cassiefarr ","5.00","0.00","4.00","1.00","MAD","Direct","-","N/A"
"MAD 126756","Matthew Phillip Andrew Foundation","Sent For Approval","carlucchi ","12.20","0.00","5.00","7.20","MAD","Direct","-","N/A"
"SAL 126753","Umber & Silk","Sent For Approval","aivamoloney","15.25","0.00","5.00","10.25","SAL","Direct","-","N/A"
"KPW 312786","Julian_slocum","Done"," julian_slocum","25.00","0.00","10.00","15.00","KPW","Direct","-","N/A"
"SAL 126742","ARPs","Sent For Approval","albertoarp","15.25","0.00","5.00","10.25","SAL","Direct","-","N/A"
"BOS 126741","Canadian School of Electrolysis & Hilltop...","Sent For Approval","brookesbrown","19.58","0.00","5.00","14.58","BOS","Direct","-","N/A"
"MAD 126722","Som Som Gaming","Sent For Approval","raginrabbit83 ","9.00","0.00","5.00","4.00","MAD","Direct","-","N/A"
"EPS 126716","Bart Haagmans","Revision","batch9502","22.85","0.00","5.00","17.85","EPS","Direct","-","N/A"
"MAD 126723","Rehoboth Smile Studio","Sent For Approval","tharr85 ","14.64","0.00","5.00","9.64","MAD","Direct","-","N/A"
"MAD 126719","The Cellar","Revision","erlock22 ","18.00","0.00","5.00","13.00","MAD","Direct","-","N/A"
"MAD 126703","KURUMSANAL","Sent For Approval","caliskanenver ","5.00","0.00","4.00","1.00","MAD","Direct","-","N/A"
"MAD 126692","NPA","Sent For Approval","shane_lindeman ","5.00","0.00","4.00","1.00","MAD","Direct","-","N/A"
"MAD 126691","Local Coupon Booklet","Sent For Approval","coupon_booklet ","18.99","0.00","5.00","13.99","MAD","Direct","-","N/A"
"MAD 126693","Matt Wilkins Media","Revision","tukwilkins ","18.99","0.00","5.00","13.99","MAD","Direct","-","N/A"
"MAD 126684","HONIG","Revision","nicole_samm ","14.64","0.00","6.50","8.14","MAD","Direct","-","N/A"
"POR 126680","The Time Capsule","Revision","tylerfry695","8.00","0.00","5.00","3.00","POR","Direct","-","N/A"
"MAD 126667","NailNote","Sent For Approval","khongaica ","5.00","0.00","4.00","1.00","MAD","Direct","-","N/A"
